,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
3-34,0.01941822084157229,,,,,,,,,,,,,,,,,,,,
4-5,0.010830374466923795,,,,,,,,,,,,,,,,,,,,
4-6,0.011803564054814161,,,,,,,,,,,,,,,,,,,,
4-7,0.01326919989216296,,,,,,,,,,,,,,,,,,,,
4-8,0.014597652134785692,,,,,,,,,,,,,,,,,,,,
4-9,0.01537951151378317,,,,,,,,,,,,,,,,,,,,
4-10,0.0154521214611649,,,,,,,,,,,,,,,,,,,,
4-11,0.014266229652805476,,,,,,,,,,,,,,,,,,,,
4-12,0.011749199383238134,,,,,,,,,,,,,,,,,,,,
4-13,0.009274885058641415,,,,,,,,,,,,,,,,,,,,
4-14,0.008571786950282177,,,,,,,,,,,,,,,,,,,,
4-15,0.008666076074148904,,,,,,,,,,,,,,,,,,,,
4-16,0.008595814021720976,,,,,,,,,,,,,,,,,,,,
4-17,0.008069437264428287,,,,,,,,,,,,,,,,,,,,
4-18,0.007956491779370566,,,,,,,,,,,,,,,,,,,,
4-19,0.009392430114580309,,,,,,,,,,,,,,,,,,,,
4-20,0.012129181055591885,,,,,,,,,,,,,,,,,,,,
4-21,0.015154931222111239,,,,,,,,,,,,,,,,,,,,
4-22,0.016247667537842094,,,,,,,,,,,,,,,,,,,,
4-23,0.0164180092113377,,,,,,,,,,,,,,,,,,,,
4-24,0.0163851772824492,,,,,,,,,,,,,,,,,,,,
4-25,0.016560990020177205,,,,,,,,,,,,,,,,,,,,
4-26,0.016920306236823675,,,,,,,,,,,,,,,,,,,,
4-27,0.017610558274041687,,,,,,,,,,,,,,,,,,,,
4-28,0.018775448659018135,,,,,,,,,,,,,,,,,,,,
4-29,0.019600021251215616,,,,,,,,,,,,,,,,,,,,
4-30,0.020301652644382155,,,,,,,,,,,,,,,,,,,,
4-31,0.02044217039736791,,,,,,,,,,,,,,,,,,,,
4-32,0.020162712939547835,,,,,,,,,,,,,,,,,,,,
4-33,0.019587598010784052,,,,,,,,,,,,,,,,,,,,
4-34,0.018948574559554447,,,,,,,,,,,,,,,,,,,,
5-6,0.012520180858919597,,,,,,,,,,,,,,,,,,,,
5-7,0.013950519442799715,,,,,,,,,,,,,,,,,,,,
5-8,0.014973415049399435,,,,,,,,,,,,,,,,,,,,
5-9,0.014988806046130917,,,,,,,,,,,,,,,,,,,,
5-10,0.014464640284799327,,,,,,,,,,,,,,,,,,,,
5-11,0.012800848750879034,,,,,,,,,,,,,,,,,,,,
5-12,0.010883947851359266,,,,,,,,,,,,,,,,,,,,
5-13,0.009587286709551087,,,,,,,,,,,,,,,,,,,,
5-14,0.008920859632286827,,,,,,,,,,,,,,,,,,,,
5-15,0.0080647194399192,,,,,,,,,,,,,,,,,,,,
5-16,0.007849065250343828,,,,,,,,,,,,,,,,,,,,
5-17,0.008556528453956285,,,,,,,,,,,,,,,,,,,,
5-18,0.009494534913586573,,,,,,,,,,,,,,,,,,,,
5-19,0.0108239448055425,,,,,,,,,,,,,,,,,,,,
5-20,0.01316710309061584,,,,,,,,,,,,,,,,,,,,
5-21,0.01527482202961276,,,,,,,,,,,,,,,,,,,,
