,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
1-1,,,,,0.0847327867860358,0.0510948201277019,0.009469600263673064,0.05778041791957941,-0.07149862282053528,,,,,,,,,,,,
1-2,,,,,0.08742990392828602,0.051338701219532476,0.006651866342128881,0.05909317953722948,-0.0714371954760108,,,,,,,,,,,,
1-3,,,,,0.09000912909099686,0.051337916487150005,0.006437206067342447,0.05713388339124823,-0.07252822281266094,,,,,,,,,,,,
1-4,,,,,0.08928119326115559,0.05137542271120293,0.010381927204294244,0.05685433336816649,-0.07126637581134186,,,,,,,,,,,,
1-5,,,,,0.08727746811581759,0.051569542929188854,0.010866839192988679,0.0590094035027666,-0.07131872803725925,,,,,,,,,,,,
1-6,,,,,0.08947064313884781,0.05150156210373713,0.005258404104244301,0.05860069136025695,-0.07160099685441719,,,,,,,,,,,,
1-7,,,,,0.09046111400893421,0.05169789637157669,0.0049321080806826526,0.06105128238454768,-0.07189061499096698,,,,,,,,,,,,
1-8,,,,,0.08939078079283966,0.05160152532483691,0.01002835427535238,0.05874425395880702,-0.07150257689141647,,,,,,,,,,,,
1-9,,,,,0.0879081991574939,0.05153338998128233,0.008281228154083222,0.06041205018541374,-0.07134379549165659,,,,,,,,,,,,
1-10,,,,,0.08870165452862518,0.05156532360626531,0.0027581252846429764,0.061468835969911755,-0.07136799651147038,,,,,,,,,,,,
1-11,,,,,0.08891856040022424,0.051472109995806946,-0.0018138067676308567,0.060290423671298506,-0.07149580669300626,,,,,,,,,,,,
1-12,,,,,0.08786338029527023,0.051684512277792825,-0.013966232640591438,0.062315707386073005,-0.07156782300209423,,,,,,,,,,,,
1-13,,,,,0.08993434626505897,0.051505041886532564,0.0005359422100240397,0.06206213317300785,-0.07141722850280309,,,,,,,,,,,,
1-14,,,,,0.08925796916873087,0.051397964882462385,0.0037560020438820183,0.060351609760019964,-0.07148951821527746,,,,,,,,,,,,
1-15,,,,,0.08913787140443043,0.05148595533569225,0.0038026630363403573,0.06055306282415211,-0.07123951905996297,,,,,,,,,,,,
1-16,,,,,0.08845270842975379,0.051487731883249704,0.01291269313189013,0.06218952925532641,-0.07115318465853962,,,,,,,,,,,,
1-17,,,,,0.08849654084191158,0.051287938461592804,0.016218280668963803,0.06366877512100001,-0.0711659758391466,,,,,,,,,,,,
1-18,,,,,0.08809597547071944,0.05131150107375201,0.0170334738836946,0.062461711718736324,-0.07133800926273998,,,,,,,,,,,,
1-19,,,,,0.08979421164691909,0.05165654505332229,0.0246880290182504,0.061984473849322354,-0.07137950944562366,,,,,,,,,,,,
1-20,,,,,0.09074293378707184,0.05166521287581095,0.02426923703818342,0.06109413286531942,-0.0714894583298166,,,,,,,,,,,,
1-21,,,,,0.09033707469774727,0.051537470086358596,0.025083058361117832,0.06149163210275926,0,,,,,,,,,,,,
1-22,,,,,0.09196494369272441,0.051614956415874484,0.02581642563611532,0.06059501638505677,0,,,,,,,,,,,,
1-23,,,,,0.09091560625263523,0.05210602541915516,0.025242697799713915,0.05965645558708678,0,,,,,,,,,,,,
1-24,,,,,0.09105380185098405,0.05180691831352162,0.02437934973397479,0.05898646064916303,0,,,,,,,,,,,,
1-25,,,,,0.09142021466886693,0.05124986617070632,0.02442411441607051,0.06070846347562796,0,,,,,,,,,,,,
2-1,,,,,0.08810487920133186,0.05134133150476916,0.007013496523736055,0.07009241822798129,-0.07156469369618078,,,,,,,,,,,,
2-2,,,,,0.09072565530359286,0.05142549681584879,0.005640659791038485,0.06936751589450739,-0.07205890639011524,,,,,,,,,,,,
2-3,,,,,0.09148975317107672,0.05141292823058396,0.007565566296517058,0.06703595707736161,-0.07195995235042264,,,,,,,,,,,,
2-4,,,,,0.08990293136887825,0.051514912018338015,0.009896133355736176,0.06788878083439048,-0.07140950672676616,,,,,,,,,,,,
2-5,,,,,0.09029171272532127,0.051582541347747334,0.007209683809735343,0.06843365874080506,-0.07158267504307307,,,,,,,,,,,,
2-6,,,,,0.09201979661144301,0.051638730544087956,0.004170663336896748,0.06923648256687112,-0.07184913216616495,,,,,,,,,,,,
2-7,,,,,0.09230671458211771,0.05168356443569414,0.006615472646477755,0.0688942225881685,-0.07180477471656299,,,,,,,,,,,,
2-8,,,,,0.09097145497080805,0.05160691511084692,0.008290822408191525,0.06787105842069031,-0.07153957392932667,,,,,,,,,,,,
2-9,,,,,0.09080994870053757,0.05159110778347879,0.004419638754100048,0.06931308987611748,-0.0714781447325944,,,,,,,,,,,,
2-10,,,,,0.09169073535078298,0.05156342409089611,-0.0009068141164297,0.06904790923473483,-0.07155159291913366,,,,,,,,,,,,
2-11,,,,,0.09095476427154106,0.051617185274822945,-0.009840154333350375,0.06880711471962159,-0.07164707491664234,,,,,,,,,,,,
2-12,,,,,0.09159550025258098,0.05163399055365615,-0.009584272589710731,0.06974734487731148,-0.07160807737846274,,,,,,,,,,,,
2-13,,,,,0.09201565236298062,0.05148916326723953,9.209607733644211e-05,0.06969928404300149,-0.07157300375709848,,,,,,,,,,,,
2-14,,,,,0.09150354993966357,0.05147841558208387,0.0013836461298191954,0.06827094866948834,-0.07148511640167554,,,,,,,,,,,,
2-15,,,,,0.09098562294044604,0.05152190164764455,0.006150126002768087,0.06906672509768133,-0.07131667144535939,,,,,,,,,,,,
2-16,,,,,0.09076607091202071,0.05142089862426694,0.01286362621869431,0.07068517383404378,-0.07129068449459902,,,,,,,,,,,,
2-17,,,,,0.09053818764777699,0.05133863544700185,0.015440890501218255,0.07086087543203602,-0.0713806420806985,,,,,,,,,,,,
2-18,,,,,0.09125631519475833,0.051515890182731575,0.020223316536872146,0.06988873123463786,-0.07147982616555877,,,,,,,,,,,,
2-19,,,,,0.09271304316490085,0.05168377728824158,0.0241812062009801,0.0692712700972753,-0.07156570028940919,,,,,,,,,,,,
2-20,,,,,0.09288706971865701,0.05162581523889789,0.02433329458088942,0.06816561269183584,0,,,,,,,,,,,,
2-21,,,,,0.09367333450498551,0.051589782377651126,0.025154237376754505,0.06688047153770803,0,,,,,,,,,,,,
2-22,,,,,0.09388709545583478,0.05186613358670892,0.025255500185549354,0.06547310297876618,0,,,,,,,,,,,,
2-23,,,,,0.09323972673340879,0.051958611486917536,0.024526082179183374,0.06457939729544528,0,,,,,,,,,,,,
2-24,,,,,0.09378062511770581,0.051531218665731036,0.024119471248920873,0.06489252059027674,0,,,,,,,,,,,,
2-25,,,,,0.09280424055287068,0.05135858924632105,0.023835145499838867,0.06502631918709678,0,,,,,,,,,,,,
