,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
15-3,,,,,,,,,,,,,,,,,,0.12134305708832543,0.0702011631423889,0.037038893427833744,0.028771452525720522
15-4,,,,,,,,,,,,,,,,,,0.12170543143237478,0.07049861518213185,0.036997488379574235,0.028508334734294028
15-5,,,,,,,,,,,,,,,,,,0.12198220865761134,0.07066443507976813,0.03698475771668828,0.028241155455828063
15-6,,,,,,,,,,,,,,,,,,0.12226342740566618,0.07089434611105419,0.03702540568486904,0.027968916245774942
15-7,,,,,,,,,,,,,,,,,,0.12208877680634586,0.07110586572705399,0.03711076737836191,0.0277258234398563
15-8,,,,,,,,,,,,,,,,,,0.12213525034639913,0.07131078522669328,0.03741323830770812,0.02750101713682269
15-9,,,,,,,,,,,,,,,,,,0.12223333499263747,0.07152854489264682,0.03769116762617014,0.027225705847055796
15-10,,,,,,,,,,,,,,,,,,0.12226279731783356,0.07173352765438037,0.03805467643479039,0.02705426024248356
15-11,,,,,,,,,,,,,,,,,,0.12263618773275012,0.07209831662470448,0.03852312444471342,0.026925993474251377
15-12,,,,,,,,,,,,,,,,,,0.12258533099852764,0.07234613172063167,0.03903990482816227,0.02680064945431864
15-13,,,,,,,,,,,,,,,,,,0.1226366308095098,0.07246065554167634,0.03950548586702722,0.02667680850737485
15-14,,,,,,,,,,,,,,,,,,0.12237271075294427,0.07238270906392014,0.04002773381231194,0.026547397295621576
15-15,,,,,,,,,,,,,,,,,,0.12206473604917287,0.07225882293607439,0.04057467584797037,0.026375356791584436
15-16,,,,,,,,,,,,,,,,,,0.12150196719657483,0.07219718382558067,0.04111252573299737,0.026315803300627043
15-17,,,,,,,,,,,,,,,,,,0.12113648615391998,0.07222635533493368,0.041642927919831735,0.026252429842621113
15-18,,,,,,,,,,,,,,,,,,0.12041961396138622,0.07216352615082419,0.042549377355844464,0.026225000365739624
15-19,,,,,,,,,,,,,,,,,,0.1198441181592946,0.07207055695846809,0.043259303232577824,0.026238693415056302
15-20,,,,,,,,,,,,,,,,,,0.11924708936470921,0.0719154245589708,0.043837836284128816,0.026238177487483146
15-21,,,,,,,,,,,,,,,,,,0.11912654708773422,0.07177157853544544,0.044350196399490484,0.026235842864799817
15-22,,,,,,,,,,,,,,,,,,0.11902350830003575,0.07164121516676857,0.04479436793040454,0.026227953824833446
15-23,,,,,,,,,,,,,,,,,,0.11892391653536685,0.07159526248205517,0.04510713066191148,0.026217327555502025
15-24,,,,,,,,,,,,,,,,,,0.11891015544895583,0.07158357739519619,0.0454370485754746,0.026244905100024574
15-25,,,,,,,,,,,,,,,,,,0.11890714209966223,0.07158902043528427,0.04571247170971958,0.02622856077577102
16-1,,,,,,,,,,,,,,,,,,0.12082527811616042,0.06973880554667769,0.03729582436543411,0.029076019214312354
16-2,,,,,,,,,,,,,,,,,,0.12120222477022467,0.07007990370322403,0.03710548862179618,0.028910822370545465
16-3,,,,,,,,,,,,,,,,,,0.12155735658945657,0.07035361341715189,0.03707583698290684,0.028658098237177975
16-4,,,,,,,,,,,,,,,,,,0.1219128789014534,0.07057464080095999,0.03705492334418735,0.02838875636147694
16-5,,,,,,,,,,,,,,,,,,0.12217103943908018,0.07076759512156754,0.037111843219526125,0.0281233477064316
16-6,,,,,,,,,,,,,,,,,,0.12235464453594783,0.0710066773233832,0.037191686731336986,0.02786633409285315
16-7,,,,,,,,,,,,,,,,,,0.12221882307492038,0.07120273211592329,0.03741949685299197,0.027633525107309594
16-8,,,,,,,,,,,,,,,,,,0.12222378487687327,0.07138259842286358,0.037693766125859465,0.027395095050748292
16-9,,,,,,,,,,,,,,,,,,0.12231509401047234,0.07162596929200733,0.03800148231499982,0.02716009844633586
16-10,,,,,,,,,,,,,,,,,,0.12233492648805974,0.07185618995337564,0.03834136804775195,0.026991553152198255
16-11,,,,,,,,,,,,,,,,,,0.12258433521252274,0.07212342077851322,0.03882448383719221,0.026869553997374812
16-12,,,,,,,,,,,,,,,,,,0.12251114571313278,0.07235403960751204,0.03928757249702272,0.02673253335746512
16-13,,,,,,,,,,,,,,,,,,0.12245122654832208,0.0723593305811695,0.03977389819620069,0.026615024091110922
16-14,,,,,,,,,,,,,,,,,,0.12221356517519856,0.07234377033852504,0.04030735802185849,0.026437346875551958
16-15,,,,,,,,,,,,,,,,,,0.12189650711601528,0.07223472192771725,0.0408980870583276,0.026367105449734238
16-16,,,,,,,,,,,,,,,,,,0.12139104861072533,0.0722048386546795,0.04154723562783862,0.02630095968791358
16-17,,,,,,,,,,,,,,,,,,0.12097190261904092,0.0722335562069244,0.04206033635053921,0.026264002683454635
16-18,,,,,,,,,,,,,,,,,,0.1203165183236255,0.07209379645728105,0.042876080968425496,0.026239169447141625
16-19,,,,,,,,,,,,,,,,,,0.11984717056270162,0.07190241390738573,0.04344214557493684,0.02624645259762763
16-20,,,,,,,,,,,,,,,,,,0.11939156247648255,0.07180808098083498,0.04400756467928399,0.026247902028782154
16-21,,,,,,,,,,,,,,,,,,0.11925407186543492,0.07170008622876493,0.044479468848402225,0.026243553419509298
16-22,,,,,,,,,,,,,,,,,,0.11917807001538724,0.07165987542973803,0.044928180435153404,0.02622901017024481
16-23,,,,,,,,,,,,,,,,,,0.11902517826709806,0.07163928600349442,0.04522701981341683,0.02622491212403804
16-24,,,,,,,,,,,,,,,,,,0.11900884120795649,0.07168389343891614,0.045545043058800166,0.02623868239899605
16-25,,,,,,,,,,,,,,,,,,0.11899278276948604,0.0716757858785098,0.045819128845125214,0.02623112544835451
17-1,,,,,,,,,,,,,,,,,,0.12120923600827554,0.06995746947497997,0.03717380338875108,0.02898135698977199
17-2,,,,,,,,,,,,,,,,,,0.12141554134818118,0.07023158417112699,0.037138202637159744,0.02879831351656045
17-3,,,,,,,,,,,,,,,,,,0.12176459991090142,0.07043484505567303,0.03712704955780477,0.028539596733499862
17-4,,,,,,,,,,,,,,,,,,0.12209843696811856,0.07067830781216079,0.03717169536027867,0.0282717644931297
17-5,,,,,,,,,,,,,,,,,,0.12226683877647863,0.07088175118064925,0.03726467373151885,0.02802000936887624
17-6,,,,,,,,,,,,,,,,,,0.12246750739324767,0.07110469052199025,0.03747826203179641,0.02777277518749129
