,Date,Close,Volume
0,2018-02-28,45.03285,685
1,2018-02-27,45.08424,34
2,2018-02-26,45.16528,959
3,2018-02-23,45.12881,235
4,2018-02-22,44.92722,382
5,2018-02-21,44.77291,487
6,2018-02-20,44.9006,1703
7,2018-02-19,45.00603,70
8,2018-02-16,45.41206,375
9,2018-02-15,44.90962,72
10,2018-02-14,44.90677,110
11,2018-02-09,43.87872,410
12,2018-02-08,44.1355,871
13,2018-02-07,44.38331,423
14,2018-02-06,44.85163,1070
15,2018-02-05,44.61064,621
16,2018-02-02,44.94295,959
17,2018-02-01,45.60784,383
18,2018-01-31,45.4574,564
19,2018-01-30,45.58888,323
20,2018-01-29,45.82176,572
21,2018-01-26,45.99034,353
22,2018-01-24,45.57889,463
23,2018-01-23,44.98734,588
24,2018-01-22,45.29987,70
25,2018-01-19,45.12945,51
26,2018-01-18,45.09779,673
27,2018-01-17,45.34436,145
28,2018-01-16,45.24894,242
29,2018-01-15,45.58369,38
30,2018-01-12,45.56075,25
31,2018-01-11,45.3629,489
32,2018-01-10,45.26469,233
33,2018-01-09,44.94953,39
34,2018-01-08,45.25775,247
35,2018-01-05,45.37857,0
36,2018-01-04,45.3292,0
37,2018-01-03,45.35777,6
38,2018-01-02,45.10863,10
39,2017-12-28,44.46192,100
40,2017-12-27,44.59917,0
41,2017-12-26,44.37415,7
42,2017-12-22,43.97912,5
43,2017-12-21,44.26383,9
44,2017-12-20,44.66241,25
45,2017-12-19,44.60008,44
46,2017-12-18,44.88581,1
47,2017-12-15,44.68683,21
48,2017-12-14,44.20791,14
49,2017-12-13,44.65498,174
50,2017-12-12,44.39273,0
51,2017-12-11,44.69672,0
52,2017-12-08,44.62905,2
53,2017-12-07,44.8868,116
54,2017-12-06,45.53169,0
55,2017-12-05,45.83668,0
56,2017-12-04,45.79506,1
57,2017-12-01,45.48947,26
58,2017-11-30,45.16611,1
59,2017-11-29,46.1064,2
60,2017-11-28,46.48735,2
61,2017-11-27,45.79039,1
62,2017-11-24,45.74079,9
63,2017-11-23,45.66614,0
64,2017-11-22,45.15681,1
65,2017-11-21,44.97566,0
66,2017-11-17,45.04159,0
67,2017-11-16,44.7504,0
68,2017-11-13,44.51421,1
69,2017-11-10,44.60989,0
70,2017-11-09,44.75436,11
71,2017-11-08,44.60332,102
72,2017-11-07,43.50612,1
73,2017-11-06,43.84703,0
74,2017-11-03,43.32436,12
75,2017-11-01,43.76723,23
76,2017-10-31,43.67185,88
77,2017-10-30,43.74656,6
78,2017-10-27,43.46295,0
79,2017-10-26,43.21665,0
80,2017-10-25,43.56131,1
81,2017-10-24,43.44018,1
82,2017-10-23,43.85556,5
83,2017-10-20,44.06918,1
84,2017-10-19,43.98425,0
85,2017-10-18,44.03002,0
86,2017-10-17,44.44514,0
87,2017-10-16,44.68542,0
88,2017-10-13,44.82835,0
